campaign,angle,side,case,d_D,VR,HBR,CoV,dP_LP_kPa,dP_LP_std_kPa
90_top,90,top,03,0.251800,1.330300,0.077800,0.47234251,0.49295908569261215,12.915441485743571
90_top,90,top,04,0.251800,3.807300,0.194500,0.065797429,1.5343763049039352,8.229669270070136
90_top,90,top,05,0.296300,1.241300,0.098300,0.5769753,0.947349011367515,13.799178528833702
90_top,90,top,06,0.296300,2.614300,0.186700,0.20161062,1.0575298519087666,12.57992557320973
90_top,90,top,07,0.381500,1.137400,0.142000,0.44044681,1.0399542575471596,14.076272769914956
90_top,90,top,08,0.381500,0.692700,0.091600,0.70657708,0.9437674968042498,14.06613116879299
90_top,90,top,09,0.395700,0.952800,0.129800,0.38964851,1.304391845163956,15.162336436741377
90_top,90,top,10,0.395700,0.806300,0.112100,0.40725967,1.0570932209542911,14.817941675187212
30_top,30,top,01,0.196400,5.841800,0.184000,0.0052387893,3.919814913810151,8.192135981130704
30_top,30,top,02,0.196400,1.642700,0.059600,0.38987828,0.003943530419070793,11.870211121592172
30_top,30,top,03,0.251800,1.330300,0.077800,0.27777012,-0.4877682005719513,12.489973880408266
30_top,30,top,05,0.296300,1.241300,0.098300,0.29767577,-0.0005040811713507135,11.801966282850064
30_top,30,top,06,0.296300,2.614300,0.186700,0.088320694,0.5326894572016267,9.399679419489432
30_top,30,top,07,0.381500,1.137400,0.142000,0.23780571,0.27392410334339173,9.270108958835632
30_top,30,top,08,0.381500,0.692700,0.091600,0.32659718,-0.8133191254710722,10.651466801346421
30_top,30,top,09,0.395700,0.952800,0.129800,0.30738126,-0.6821732188973157,12.385691140807273
30_top,30,top,10,0.395700,0.806300,0.112100,0.34507697,-0.9865515183867092,9.786160669840125
90_bot,90,bottom,03,0.251800,1.330300,0.077800,1.1035405,0.5806944879761614,14.627579302731666
90_bot,90,bottom,04,0.251800,3.807300,0.194500,0.2708972,-0.09668345213403112,18.421554557194185
90_bot,90,bottom,05,0.296300,1.241300,0.098300,0.99237294,0.4413743262331394,15.629613995035301
90_bot,90,bottom,06,0.296300,2.614300,0.186700,0.39213236,0.8130678816919692,16.188305809821625
90_bot,90,bottom,07,0.381500,1.137400,0.142000,0.95378277,2.6537469663684763,16.137292041054103
90_bot,90,bottom,08,0.381500,0.692700,0.091600,0.91085635,1.8413935834089128,13.90503293148652
90_bot,90,bottom,09,0.395700,0.952800,0.129800,0.82719267,1.576049189653454,15.732325655913812
90_bot,90,bottom,10,0.395700,0.806300,0.112100,0.83527123,1.597095383768733,15.842606187482566
90_bot,90,bottom,11,0.350000,4.000000,0.059900,0.21685477,-0.3474536364826535,22.158091285118374
90_bot,90,bottom,12,0.400000,3.500000,0.068400,0.27158162,-0.48170717293595944,21.462657664546313
90_bot,90,bottom,13,0.450000,3.000000,0.074300,0.31667504,2.7147327243674373,21.89443274577751
90_bot,90,bottom,14,0.450000,4.500000,0.111400,0.23850035,7.649228076067869,23.426888599371498
90_bot,90,bottom,15,0.350000,5.000000,0.074900,0.17229008,3.2679373683466677,22.23262293537729
30_bot,30,bottom,01,0.196400,5.841800,0.184000,0.23234719,-0.464158416772818,16.516153769668513
30_bot,30,bottom,02,0.196400,1.642700,0.059600,1.1891786,0.630158959523874,14.18943328179135
30_bot,30,bottom,03,0.251800,1.330300,0.077800,1.3430528,2.542113861718779,16.345478985460513
30_bot,30,bottom,04,0.251800,3.807300,0.194500,0.34843753,-0.045868551120356614,17.725760522654213
30_bot,30,bottom,05,0.296300,1.241300,0.098300,1.2626589,1.147898670065359,14.75628611264921
30_bot,30,bottom,06,0.296300,2.614300,0.186700,0.73380392,0.8837735423616967,16.755151330058734
30_bot,30,bottom,07,0.381500,1.137400,0.142000,1.0886873,1.560687017517769,19.899781871550847
30_bot,30,bottom,08,0.381500,0.692700,0.091600,1.043016,1.3359429426160176,16.47590257844961
30_bot,30,bottom,09,0.395700,0.952800,0.129800,1.0532969,2.037307671693953,14.606152258133859
30_bot,30,bottom,10,0.395700,0.806300,0.112100,0.912786,0.8744185385836087,15.030400488304696
