case,d_over_D,HBR,VR,D2_m,U_main_mps,U_branch_mps,Re_branch,K_main,K_branch,Omega_main,Omega_branch,mix_branch_m,ZJCT,LMAIN,slice_id
1,0.1516,0.1545,7.9475,0.06975,10.0,79.4753,31676220.0,0.375,23.686184,34.7216,1819.9078,0.004882,2.3,6.9,1
2,0.1516,0.074,3.4742,0.06975,10.0,34.7422,13847104.0,0.375,4.526331,34.7216,795.5638,0.004882,2.3,6.9,1
3,0.2295,0.1759,4.0548,0.10555,10.0,40.5478,24456194.0,0.375,6.165478,34.7216,613.572,0.007389,2.3,6.9,2
4,0.2295,0.0515,1.0322,0.10555,10.0,10.3225,6225945.0,0.375,0.399576,34.7216,156.2003,0.007389,2.3,6.9,2
5,0.2733,0.1835,3.0085,0.12571,10.0,30.0848,21611266.0,0.375,3.394111,34.7216,382.2377,0.0088,2.3,6.9,3
6,0.2733,0.0952,1.4095,0.12571,10.0,14.0949,10125010.0,0.375,0.745001,34.7216,179.0807,0.0088,2.3,6.9,3
7,0.3894,0.1679,1.3308,0.17914,10.0,13.3081,13622696.0,0.375,0.664141,34.7216,118.6546,0.01254,2.3,6.9,4
8,0.3894,0.0893,0.6466,0.17914,10.0,6.4658,6618692.0,0.375,0.156776,34.7216,57.6493,0.01254,2.3,6.9,4
9,0.4418,0.0823,0.4597,0.20323,10.0,4.5973,5338871.0,0.375,0.079258,34.7216,36.1312,0.014226,2.3,6.9,5
10,0.4418,0.1333,0.7882,0.20323,10.0,7.8821,9153509.0,0.375,0.232981,34.7216,61.9471,0.014226,2.3,6.9,5
