case,alpha_deg,slice_id,d_over_D,HBR,VR,D2_m,U_branch_mps,Re_branch,status,CoV_area_tavg,CoV_mass_tavg,CoV_vol_tavg,Is_area_tavg,Is_mass_tavg,Is_vol_tavg,meanH2_area_tavg,meanH2_mass_tavg,meanH2_vol_tavg,H2_outletAvg_ts,dP_prgh_area_ts_kPa,dP_p_area_kPa,dP_p_mass_kPa,dP_p_vol_kPa,dP_p_rgh_area_kPa,dP_p_rgh_mass_kPa,dP_p_rgh_vol_kPa,dP_total_area_kPa,dP_total_mass_kPa,dP_total_vol_kPa,CoV_area_snap,CoV_mass_snap,CoV_vol_snap
1,30.0,1,0.1964,0.184,5.8418,0.09036,58.4183,30164259.0,ok,0.0052387893,0.0051980344,0.0051984907,1.3674768e-06,1.3461728e-06,1.3464186e-06,0.047461413,0.04745771,0.047458028,0.046603602,3.3199110999999997,19.788329,19.788717000000002,19.788717000000002,19.788357,19.789034,19.789006,17.880226,17.923571,17.923690999999998,0.0052387893,0.0051980344,0.0051984907
2,30.0,1,0.1964,0.0596,1.6427,0.09036,16.4267,8481943.0,ok,0.38987828,0.38420265,0.37918887,0.0012574082,0.0012167237,0.0011946689,0.0082042793,0.0081753464,0.0082402966,0.0084006403,2.1257143999999997,-29.016216,-29.0158,-29.0158,-29.016429,-29.014067,-29.013875,-29.557866999999998,-29.528209,-29.528149000000003,0.38987828,0.38420265,0.37918887
3,30.0,2,0.2518,0.0778,1.3303,0.11585,13.3032,8806546.0,ok,0.27777012,0.27767435,0.2768798,0.00085328817,0.00084205631,0.00084180685,0.010938256,0.010803198,0.010861431,0.01172496,1.8934109000000001,-26.705559,-26.705137999999998,-26.705137999999998,-26.704695,-26.701978,-26.702823,-26.982144,-26.949116,-26.946582,0.27777012,0.27767435,0.2768798
4,30.0,2,0.2518,0.1945,3.8073,0.11585,38.0731,25203798.0,missing,,,,,,,,,,,,,,,,,,,,,,,
5,30.0,3,0.2963,0.0983,1.2413,0.13631,12.4132,9669011.0,ok,0.29767577,0.29559858,0.29311368,0.0012339869,0.001205984,0.0011948835,0.013734642,0.013613939,0.013716869,0.014109833,3.3087255,-19.309549,-19.309112000000002,-19.309112000000002,-19.309041,-19.30644,-19.306948000000002,-20.317539,-20.288183,-20.285767,0.29767577,0.29559858,0.29311368
6,30.0,3,0.2963,0.1867,2.6143,0.13631,26.143,20363579.0,ok,0.088320694,0.087514377,0.087084766,0.00024003409,0.00023559631,0.00023360556,0.029852835,0.029843614,0.029882914,0.029929219,-0.6755327600000001,13.609129000000001,13.609476,13.609476,13.608707,13.609913,13.610325999999999,13.560012,13.600225,13.600126,0.088320694,0.087514377,0.087084766
7,30.0,4,0.3815,0.142,1.1374,0.1755,11.3744,11406729.0,ok,0.23780571,0.23758875,0.23632251,0.0011542026,0.0011407405,0.0011364875,0.020001515,0.019808252,0.019943691,0.020508672,3.210071,-11.587848,-11.587402,-11.587402,-11.586960999999999,-11.584237,-11.58511,-12.537559,-12.507375,-12.503445,0.23780571,0.23758875,0.23632251
8,30.0,4,0.3815,0.0916,0.6927,0.1755,6.9273,6946939.0,ok,0.32659718,0.32609073,0.32208102,0.001374026,0.0013656107,0.0013438667,0.012717782,0.012679673,0.012788981,0.0062586525,1.9432273,16.871687,16.872100999999997,16.8721,16.870983,16.87175,16.872439,16.264181,16.305105,16.30474,0.32659718,0.32609073,0.32208102
9,30.0,5,0.3957,0.1298,0.9528,0.182,9.5275,9908566.0,ok,0.30738126,0.30593468,0.29941975,0.0017693748,0.0017422011,0.0016867408,0.018382616,0.018273898,0.018466834,0.01609254,3.6092006999999997,-6.689648699999999,-6.6891949,-6.689195300000001,-6.6899934000000005,-6.6882972,-6.6879597,-7.9993502,-7.9662356,-7.9657925999999994,0.30738126,0.30593468,0.29941975
10,30.0,5,0.3957,0.1121,0.8063,0.182,8.063,8385496.0,ok,0.34507697,0.34262823,0.33574332,0.001889161,0.0018611019,0.0018079362,0.015617125,0.015606043,0.015785491,0.010727936,2.7481999999999998,2.8678711,2.8683255,2.8683251,2.8668156,2.8678155000000003,2.8688449,2.0399513,2.0790007,2.0766489000000004,0.34507697,0.34262823,0.33574332
