case,d_over_D,HBR,VR,D2_m,U_main_mps,U_branch_mps,slice_id,_status,CoV_area,CoV_massFlux,CoV_volumeFlux,Is,dP_static,dP_total,dP_gauge
1,0.1964,0.184,5.8418,0.09036,10.0,58.4183,1,missing,,,,,,,
2,0.1964,0.0596,1.6427,0.09036,10.0,16.4267,1,ok,0.25591986,0.25591339,0.25472914,0.00058694644,-33875.7,-34537.426,-33870.46
3,0.2518,0.0778,1.3303,0.11585,10.0,13.3032,2,ok,0.09895098,0.096712098,0.096436381,0.00011247696,-20983.425,-21147.159,-20982.516
4,0.2518,0.1945,3.8073,0.11585,10.0,38.0731,2,missing,,,,,,,
5,0.2963,0.0983,1.2413,0.13631,10.0,12.4132,3,ok,0.2602092,0.26156611,0.25778477,0.0010095434,-15783.163,-17005.03,-15780.565
6,0.2963,0.1867,2.6143,0.13631,10.0,26.143,3,ok,0.13570758,0.13657712,0.13546288,0.00055575302,2688.4342,2471.8664,2689.6938
7,0.3815,0.142,1.1374,0.1755,10.0,11.3744,4,ok,0.17429529,0.17145152,0.1706585,0.00063005964,-5932.3744,-6665.5458,-5932.4656
8,0.3815,0.0916,0.6927,0.1755,10.0,6.9273,4,ok,0.4370731,0.43307229,0.43727294,0.0021345885,10239.971,9471.9779,10240.436
9,0.3957,0.1298,0.9528,0.182,10.0,9.5275,5,ok,0.42066014,0.41811019,0.40973859,0.003351395,6584.7277,5362.6732,6582.912
10,0.3957,0.1121,0.8063,0.182,10.0,8.063,5,ok,0.3862114,0.37954676,0.37606424,0.0022887221,13993.811,13378.226,13993.605
